model_name,avoid_rep-mean,avoid_rep-std,enjoy-mean,enjoy-std,fluency-mean,fluency-std,inquisitive-mean,inquisitive-std,interest-mean,interest-std,listen-mean,listen-std,make_sense-mean,make_sense-std,persona_guess-mean,persona_guess-std,reward-mean,reward-std,turing-mean,turing-std
inquisitive_model_ct_setting10_better,0.6944444444444444,0.12234841969747356,0.7027777777777777,0.23539105891533763,0.9055555555555556,0.1606314699422329,0.7333333333333333,0.13333333333333333,0.6944444444444444,0.2379827776733766,0.8027777777777778,0.19893621410882084,0.8777777777777778,0.16348821077291292,0.18333333333333332,0.11055415967851333,0.6839506172839506,0.11076936470289712,0.5611111111111111,0.23953401263677887
greedy_model,0.553763440860215,0.16740212340795987,0.5752688172043011,0.2688709623666664,0.8279569892473119,0.19042430912284775,0.510752688172043,0.1971366894333237,0.5994623655913979,0.24631636965495288,0.7043010752688172,0.21672735882522984,0.8279569892473119,0.17574149600732428,0.22043010752688172,0.08073471729936134,0.5848267622461171,0.1348188349956267,0.4435483870967742,0.22339340467007238
repetition_model_settinginf,0.7092391304347826,0.09943573078006515,0.7391304347826086,0.21146822237330132,0.9211956521739131,0.13757087020486022,0.657608695652174,0.16367630811277822,0.7119565217391305,0.20167364473129862,0.8532608695652174,0.1613132834745199,0.9266304347826086,0.1252065873207421,0.23369565217391305,0.06172726462826384,0.7053140096618357,0.10065177104591581,0.595108695652174,0.23843463494588396
repetition_model_setting05,0.6752577319587629,0.13025029658240492,0.6520618556701031,0.23962142884885482,0.9072164948453608,0.14050529041689702,0.6829896907216495,0.15446725838939893,0.6778350515463918,0.2240638108858918,0.788659793814433,0.18423779382125274,0.8994845360824743,0.14652237529434942,0.1958762886597938,0.10296383688370196,0.6703894616265751,0.10796143363620107,0.5541237113402062,0.23873270467854457
repetition_model_setting12,0.7087628865979382,0.09948587147226176,0.7268041237113402,0.2244192798733462,0.8943298969072165,0.16385753943559106,0.654639175257732,0.15416594256431115,0.7164948453608248,0.22598257955446363,0.8092783505154639,0.18224401576972873,0.904639175257732,0.1582902322967432,0.18041237113402062,0.11204672741899051,0.6867124856815578,0.11008563636662115,0.5850515463917526,0.24841403628910289
inquisitive_model_ct_setting07,0.7268041237113402,0.0809294766397298,0.7835051546391752,0.21427432670955185,0.9432989690721649,0.12176300836100738,0.6829896907216495,0.1458863061658238,0.7654639175257731,0.19601189012197465,0.8402061855670103,0.17654168855199698,0.9020618556701031,0.18147697672457677,0.20618556701030927,0.0950468500751844,0.7210767468499427,0.09704143932947536,0.6391752577319587,0.251206039814664
interesting_nidf_model_bfw_setting_08,0.6944444444444444,0.1332175423142422,0.6027777777777777,0.30707953286758277,0.6805555555555556,0.3184767952862539,0.5194444444444445,0.22119554501798283,0.65,0.2881936077631764,0.6694444444444444,0.27342421704950676,0.7277777777777777,0.2375933864482566,0.23055555555555557,0.06695539329552194,0.5824074074074074,0.18464968872051105,0.4666666666666667,0.25331140255951107
responsiveness_model_bfw_setting_00,0.7394736842105263,0.0619400120838938,0.7631578947368421,0.22174078350464096,0.9421052631578948,0.11152431631798465,0.6368421052631579,0.1653084081530464,0.7473684210526316,0.21304415418956943,0.8447368421052631,0.1820170154293745,0.9394736842105263,0.12415922223247843,0.2026315789473684,0.09797110773150675,0.7222222222222221,0.10299289957042344,0.6842105263157895,0.25446157376070677
inquisitive_model_ct_setting01,0.7291666666666666,0.06909634979907082,0.734375,0.22480460265528374,0.9140625,0.14356022346185127,0.6328125,0.1728782274041953,0.703125,0.21744401817862608,0.8307291666666666,0.17490619385632275,0.8984375,0.13777493819178435,0.21354166666666666,0.08823476221925738,0.6982060185185186,0.10108240966668905,0.6276041666666666,0.23383908637345518
repetition_model_setting35_settinginf,0.7291666666666666,0.08589803386703461,0.7369791666666666,0.22058690554814345,0.9296875,0.1286099815090182,0.6770833333333334,0.16103775868479486,0.7526041666666666,0.2209555233886952,0.8333333333333334,0.17554478694117415,0.9244791666666666,0.1355918338223418,0.2265625,0.07287014885225637,0.7167245370370371,0.09602602337608032,0.640625,0.24688818530190274
